standard_number,title,description,status,version_number,effective_date,reviewed_year,source_name,source_url,authoritative,bis_url
IS 403:1964,IS 403:1964,IS 403:1964,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ill2SUhsZzBqaEFXSmQ2MzFtb2NaZWc9PSIsInZhbHVlIjoiR1JVN0RIcUUwOVlqOEd0cmp5dDB1UT09IiwibWFjIjoiZjkyNmVjZWM3NjAwMjQwZDk1ZjZlZmUxOThmODdkNjU1ZGEwZGQ3Y2RlODlhNzIzYTk3ODZkMmQ1NGRjNTFhYSIsInRhZyI6IiJ9&standardNumber=IS%20403:1964
IS 404,IS 404,IS 404,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlZmaHIwUlhRcGxveE03dnVTZVFJb1E9PSIsInZhbHVlIjoibXZSZEJKN0luOE1Razh2WHZEZmZUUT09IiwibWFjIjoiM2MzNzg3NmE4YzIxNWM5MzYxM2U5OTM2Zjc3NWJhNDRhYjkwY2NiYmY1MDIxM2M4M2MzY2YyNzIwYWQxNjc0MCIsInRhZyI6IiJ9&standardNumber=IS%20404%20(Part%201):1993
IS 405,IS 405,IS 405,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IitGRkZ3QktBeWI5dzBxZDgyRG9VOFE9PSIsInZhbHVlIjoiRyswaGpyK3gvWTJQNWNIN2ViaktKQT09IiwibWFjIjoiMWU1MWQ5OTEzNWJiNzc5NGE0NTM1YmY5MGJjNDU3ZDBiMWRlNTVjMjVlZTlmNzM2NzYzNWRhNmQyMGFlOGFkNSIsInRhZyI6IiJ9&standardNumber=IS%20405%20(Part%201):1992
IS 406:1964,IS 406:1964,IS 406:1964,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ill5K0JTZ2VQNzUxeUtwUFE2WmZhblE9PSIsInZhbHVlIjoiOHJtSlNqQVVvcmlkR3hBcDIzbnNKUT09IiwibWFjIjoiYzE2YzYzZWRlMTBlMDhmYzQ4YTkwYjA2ZGI0YjA1ZDg2N2QxMDNkYmE5OTkzNjk1NmIxYmNjYjBhN2QwODE5ZCIsInRhZyI6IiJ9&standardNumber=IS%20406:1964
IS 407:1981,IS 407:1981,IS 407:1981,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imo2TTNjWklTeEN0cGV6WVprN0QrMGc9PSIsInZhbHVlIjoiakJrTUxOUXNwc05wTEdvWXRJVHJlUT09IiwibWFjIjoiZDZhOWJiNDNkYmI2ZGM1ZmEyY2ZhYWQyZGM2ZTFkODc0YTU3NWNkYWMxNTM4ZDc4MmI2OWRkZjlmMTNlMzZmMiIsInRhZyI6IiJ9&standardNumber=IS%20407:1981
IS 408:2020,IS 408:2020,IS 408:2020,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkNOUElMR01aNDRkQ3p4bW9QRVczMnc9PSIsInZhbHVlIjoiS0hhZjF3YTJGL0o3RlNDdlBuWVo1UT09IiwibWFjIjoiYTk3ZGZjYmU5ZGJlYTU0ZTg3MDc2ZGQxYmM1MTQ1MzVmMzc4YmRhMDlkMDYwOWUwZDI3OTBjM2U3NjI4N2Y1MSIsInRhZyI6IiJ9&standardNumber=IS%20408:2020
IS 40:2021,IS 40:2021,IS 40:2021,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkgycitFUXg2Uy85ZGtGNEt5Tkd4Y3c9PSIsInZhbHVlIjoiL1NJcVViQWpkWjhabXk1VmV2WEtDZz09IiwibWFjIjoiNDVjM2RlN2EyNDU4ZDBhMzkwM2NiZjk0ZmFhZDYzMjNhN2RlMTgzZjY4MmFiMDdhMjVmMGY2NDM2ZmUxNGQwYyIsInRhZyI6IiJ9&standardNumber=IS%2040:2021
IS 410:1977,IS 410:1977,IS 410:1977,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imp0MG03U2ZwQUdNVjZpRHQ4SXFTWEE9PSIsInZhbHVlIjoiUkkvdTh1WW9KaCs3OHhvQzYrVzh1QT09IiwibWFjIjoiNjFiMjI5MzFiZjQwYTY4ZWY1NmFmOTQyZGYwODEwMGVmNmQ0ZWU3NzczNmJlM2E2YjY3OGJjNDU5ZjJkOTEwNSIsInRhZyI6IiJ9&standardNumber=IS%20410:1977
IS 411:2026,IS 411:2026,IS 411:2026,published,,,,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImpLUFlRMzFkY1VxYVZGN1FlUTdYYWc9PSIsInZhbHVlIjoiM3o1dFJVZkdIMjVLQU5FaXJzYWhDUT09IiwibWFjIjoiYTNiYjJlOWJiMDAzMWY5ZTVjMTljMDhlZmQ1MjY5YzBmNzllYTg1YjhmMGM0YjJjNGNmMTQxZDQyN2RjNDFmZCIsInRhZyI6IiJ9&standardNumber=IS%20411:2026
IS 412:1975,IS 412:1975,IS 412:1975,published,,,2022,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InVUUDJFWkx5dSsxSHhmV2dDd2czSFE9PSIsInZhbHVlIjoibnIvTkloeGE1bnVsQ2dxYkZzTktKZz09IiwibWFjIjoiYmJjMTYwNWI3ZWVjNGYzNWU5NWVmYzQ0ZmVkNWVhZDg3NjliZjhjYjY0M2E5NzZlZjZlYjVjOTE4Y2VlMjU1NSIsInRhZyI6IiJ9&standardNumber=IS%20412:1975
